2006.01.13,00:00,1.20360,1.21450,1.20270,1.21330,8119
2006.01.16,00:00,1.21490,1.21780,1.21050,1.21260,4936
2006.01.17,00:00,1.21260,1.21410,1.20500,1.21050,7319
2006.01.18,00:00,1.21060,1.21610,1.20700,1.21110,10077
2006.01.19,00:00,1.21100,1.21270,1.20540,1.20960,6967
2006.01.20,00:00,1.20970,1.21430,1.20390,1.21360,6562
2006.01.23,00:00,1.21440,1.23150,1.21380,1.23080,9026
2006.01.24,00:00,1.23070,1.23260,1.22590,1.22800,7652
2006.01.25,00:00,1.22810,1.23260,1.22360,1.22420,8166
2006.01.26,00:00,1.22430,1.22710,1.21990,1.22090,6158
2006.01.27,00:00,1.22080,1.22380,1.20840,1.21030,9700
2006.01.30,00:00,1.21090,1.21150,1.20620,1.20900,7053
2006.01.31,00:00,1.20910,1.21910,1.20790,1.21560,7399
2006.02.01,00:00,1.21520,1.21640,1.20460,1.20630,6685
2006.02.02,00:00,1.20630,1.21090,1.20300,1.20920,6097
2006.02.03,00:00,1.20930,1.21150,1.19670,1.20200,7998
2006.02.06,00:00,1.20350,1.20470,1.19450,1.19680,5875
2006.02.07,00:00,1.19670,1.20180,1.19400,1.19780,6849
2006.02.08,00:00,1.19790,1.19950,1.19250,1.19610,5523
2006.02.09,00:00,1.19620,1.19960,1.19460,1.19790,5165
2006.02.10,00:00,1.19800,1.20260,1.18910,1.18950,8186
2006.02.13,00:00,1.19000,1.19200,1.18770,1.18980,4634
2006.02.14,00:00,1.18970,1.19260,1.18590,1.19160,4952
2006.02.15,00:00,1.19160,1.19570,1.18690,1.18890,5964
2006.02.16,00:00,1.18900,1.19100,1.18480,1.19060,4611
2006.02.17,00:00,1.19060,1.19450,1.18580,1.19330,6571
2006.02.20,00:00,1.19290,1.19750,1.19230,1.19380,3165
2006.02.21,00:00,1.19370,1.19440,1.18910,1.19100,4866
2006.02.22,00:00,1.19090,1.19320,1.18620,1.19130,6175
2006.02.23,00:00,1.19120,1.19700,1.18910,1.19180,7599
